COMID,Flow_cfs,StreamOrder,SizeClass,slope,GradientClass
7484276,1.482,1,HW,1.00E-05,Very low
7484282,0.945,1,HW,0.00992715,Moderate
7484286,3.382,1,SC,0.00485748,Low
7484288,2.938,1,SC,0.00304089,Low
7484292,4.702,2,SC,0.00034825,Very low
7484294,5.248,2,SC,1.00E-05,Very low
7484296,0.912,1,HW,0.00933128,Moderate
7484306,55.046,4,SR,0.00210612,Low
7484310,0.71,1,HW,0.01048888,Moderate
7484312,3.624,2,SC,0.00104421,Low
7484318,2.738,1,SC,0.00214682,Low
7484320,49.976,4,SR,0.00121019,Low
7484322,0.965,1,HW,0.0068739,Moderate
7484324,2.807,1,SC,0.00599369,Moderate
7484326,0.889,1,HW,0.00987111,Moderate
7484328,9.525,2,SC,0.00202231,Low
7484334,2.371,1,SC,0.00248878,Low
7484336,3.842,2,SC,0.00339726,Low
7484338,1.051,1,HW,0.00453298,Low
7484342,7.969,2,SC,0.0026386,Low
7484344,5.127,2,SC,0.00277185,Low
7484346,1.023,1,HW,0.00778778,Moderate
7484348,0.967,1,HW,0.00980721,Moderate
7484350,1.126,1,HW,0.00533102,Moderate
7484356,0.974,1,HW,0.01117379,Moderate
7484358,6.662,2,SC,0.00168237,Low
7484360,11.014,2,LC,0.0017801,Low
7484362,4.826,1,SC,0.00323857,Low
7484364,13.601,2,LC,0.00044668,Very low
7484366,2.481,1,SC,0.00347614,Low
7484372,3.454,1,SC,0.00163829,Low
7484374,18.724,3,LC,0.00067796,Very low
7484376,1.748,1,HW,0.00717712,Moderate
7484378,2.793,1,SC,0.00885698,Moderate
7484380,4.598,2,SC,0.00173387,Low
7484382,7.597,2,SC,1.00E-05,Very low
7484384,1.145,1,HW,0.01035995,Moderate
7484386,0.229,1,HW,0.03017699,Moderate High
7484388,5.98,2,SC,0.00222055,Low
7484390,0.355,1,HW,0.01712914,Moderate
7484392,6.006,2,SC,0.00668997,Moderate
7484394,0.694,1,HW,0.01241358,Moderate
7484396,0.359,1,HW,0.00887096,Moderate
7484398,0.481,1,HW,0.01302008,Moderate
7484400,1.568,1,HW,0.00852037,Moderate
7484402,174.219,5,SR,0.00821621,Moderate
7484406,28.25,3,LC,0.00010615,Very low
7484408,20.448,2,LC,0.00194493,Low
7484414,19.062,3,LC,0.00112759,Low
7484416,7.109,2,SC,0.00327649,Low
7484418,0.575,1,HW,0.01166225,Moderate
7484420,0.728,1,HW,0.01382608,Moderate
7484422,1.325,1,HW,0.01041398,Moderate
7484424,0.684,1,HW,0.00965517,Moderate
7484426,12.841,3,LC,0.0044664,Low
7484428,0.802,1,HW,0.0117647,Moderate
7484430,1.355,1,HW,0.00952708,Moderate
7484432,27.188,3,LC,0.00093161,Very low
7484434,1.367,2,HW,0.00530201,Moderate
7484436,6.156,2,SC,0.00359477,Low
7484438,0.07,3,HW,0.00237974,Low
7484442,0.312,1,HW,0.00582921,Moderate
7484444,0.556,1,HW,0.01376861,Moderate
7484446,25.494,3,LC,0.00349344,Low
7484448,25.673,3,LC,1.00E-05,Very low
7484450,24.024,3,LC,0.00435483,Low
7484452,0.981,1,HW,0.00750551,Moderate
7484454,2.631,2,SC,0.00490588,Low
7484456,0.066,3,HW,0.00121527,Low
7484458,9.125,2,SC,0.00276276,Low
7484460,12.046,3,LC,0.00261762,Low
7484462,2.376,1,SC,0.00584158,Moderate
7484464,0.989,1,HW,0.00553381,Moderate
7484466,1.447,1,HW,0.00554204,Moderate
7484468,0.722,1,HW,0.0182686,Moderate
7484474,1.07,1,HW,0.00614545,Moderate
7484478,0.527,1,HW,0.01290476,Moderate
7484480,2.612,2,SC,0.00422125,Low
7484482,0.491,1,HW,0.01539543,Moderate
7484484,0.398,1,HW,0.02639451,Moderate High
7484488,0.845,1,HW,1.00E-05,Very low
7484494,3.88,2,SC,0.00343786,Low
7484498,303.203,5,MR,1.00E-05,Very low
7484504,0,3,,0.03210526,Moderate High
7484506,22.947,3,LC,0.00308502,Low
7484508,0.905,1,HW,0.01205596,Moderate
7484510,22.736,2,LC,0.00045376,Very low
7484512,2.267,2,SC,0.00890145,Moderate
7484516,12.639,2,LC,0.00236514,Low
7484518,0,2,,-9998,Very low
7484520,5.247,2,SC,0.00088145,Very low
7484522,1.724,1,HW,0.0077908,Moderate
7484524,0.745,1,HW,0.01318009,Moderate
7484526,5.878,2,SC,0.00132474,Low
7484528,1.72,1,HW,0.01161791,Moderate
7484530,22.774,3,LC,5.28E-05,Very low
7484532,0.704,1,HW,0.0095182,Moderate
7484534,0.698,1,HW,0.00747572,Moderate
7484538,9.937,2,SC,0.00113895,Low
7484542,10.177,2,LC,1.00E-05,Very low
7484544,15.38,3,LC,1.00E-05,Very low
7484546,0.621,1,HW,0.01790546,Moderate
7484548,12.594,2,LC,0.00412095,Low
7484550,21.856,3,LC,0.0009322,Very low
7484556,1.658,1,HW,1.00E-05,Very low
7484560,0.933,1,HW,0.00389105,Low
7484562,2.399,1,SC,1.00E-05,Very low
7484564,5.396,2,SC,0.00293148,Low
7484566,24.135,2,LC,1.00E-05,Very low
7484568,84.057,3,SR,1.00E-05,Very low
7484570,25.915,2,LC,1.00E-05,Very low
7484572,21.15,3,LC,1.00E-05,Very low
7484574,0.57,1,HW,0.01026236,Moderate
7484576,0.829,1,HW,0.00602409,Moderate
7484578,2.474,1,SC,1.00E-05,Very low
7484580,0.038,1,HW,1.00E-05,Very low
7484584,2.683,2,SC,0.00430966,Low
7484586,1.71,1,HW,0.00617624,Moderate
7484588,1.078,1,HW,0.01023036,Moderate
7484590,662.463,5,MR,1.00E-05,Very low
7484592,109.998,3,SR,1.00E-05,Very low
7484594,11.792,2,LC,0.00024549,Very low
7484596,12.184,2,LC,0.00135095,Low
7484598,25.841,3,LC,0.00071261,Very low
7484600,0.552,1,HW,0.01355495,Moderate
7484602,0,2,,0.01961538,Moderate
7484604,13.065,2,LC,0.00050793,Very low
7484606,0.858,1,HW,0.00326594,Low
7484608,1.804,2,HW,0.00596173,Moderate
7484610,3.951,2,SC,0.00299461,Low
7484612,3.971,2,SC,0.00333535,Low
7484614,7.925,3,SC,0.00107692,Low
7484616,1.043,1,HW,0.00926335,Moderate
7484618,0.551,1,HW,0.01373854,Moderate
7484620,4.639,1,SC,0.00626158,Moderate
7484624,18.393,3,LC,0.00489142,Low
7484626,0,3,,0.03806451,Moderate High
7484630,8.764,2,SC,8.71E-05,Very low
7484632,0.441,1,HW,0.01064331,Moderate
7484634,0.309,1,HW,0.03949218,Moderate High
7484636,1.221,1,HW,0.00959429,Moderate
7484638,0.606,1,HW,0.01039814,Moderate
7484640,4.982,1,SC,7.16E-05,Very low
7484642,0.3,1,HW,0.01182621,Moderate
7484644,3.753,1,SC,0.00157235,Low
7484646,40.782,3,SR,2.00E-05,Very low
7484648,44.537,3,SR,0.00130434,Low
7484650,9.781,3,SC,0.00075451,Very low
7484658,45.472,3,SR,0.00017241,Very low
7484662,0.523,1,HW,0.00894814,Moderate
7484664,0.587,1,HW,0.00592337,Moderate
7484668,1.224,2,HW,1.00E-05,Very low
7484670,1.128,2,HW,0.00112244,Low
7484672,0.408,1,HW,0.01490784,Moderate
7484674,46.086,3,SR,0.0006542,Very low
7484678,5.727,1,SC,0.00080174,Very low
7484680,772.848,5,MR,0.00120139,Low
7484682,11.916,3,LC,0.00338171,Low
7484684,0.085,2,HW,0.00139601,Low
7484686,1.333,1,HW,0.00657564,Moderate
7484688,1.101,1,HW,0.01187826,Moderate
7484690,0.534,1,HW,0.00763054,Moderate
7484692,2.081,1,SC,0.00378819,Low
7484694,0.664,1,HW,0.01126582,Moderate
7484696,0.402,1,HW,0.01276214,Moderate
7484698,0.971,1,HW,0.00751053,Moderate
7484700,7.947,2,SC,0.00025967,Very low
7484702,2.51,1,SC,0.00429777,Low
7484704,0.93,1,HW,0.0079987,Moderate
7484706,7.053,2,SC,0.00421127,Low
7484712,3.412,2,SC,0.00758426,Moderate
7484714,8.159,2,SC,0.0018214,Low
7484716,0.657,1,HW,0.00723322,Moderate
7484718,0.637,1,HW,0.01505597,Moderate
7484720,13.108,3,LC,0.0024598,Low
7484722,3.199,2,SC,0.00318333,Low
7484724,1.503,1,HW,0.00893261,Moderate
7484726,0.651,1,HW,0.00827798,Moderate
7484728,0.318,3,HW,0.00140939,Low
7484730,1.098,1,HW,0.00954513,Moderate
7484732,349.133,5,MR,1.00E-05,Very low
7484734,5.714,2,SC,0.0040759,Low
7484736,0,2,,0.00333333,Low
7484740,0.794,1,HW,0.00626753,Moderate
7484742,0.769,1,HW,0.00892399,Moderate
7484744,2.313,1,SC,0.00803326,Moderate
7484748,0.749,1,HW,0.00757201,Moderate
7484750,1.39,1,HW,0.00725527,Moderate
7484752,3.014,2,SC,0.00552375,Moderate
7484756,1.63,2,HW,0.0082822,Moderate
7484758,5.004,1,SC,0.00600936,Moderate
7484760,4.651,3,SC,0.00384615,Low
7484762,0.66,1,HW,0.00866343,Moderate
7484764,0.199,1,HW,0.00817669,Moderate
7484766,5.027,1,SC,0.00011976,Very low
7484768,1.29,1,HW,0.00168704,Low
7484770,0.662,1,HW,0.00799524,Moderate
7484772,2.959,1,SC,0.00091444,Very low
7484774,48.06,3,SR,0.00104118,Low
7484776,2.691,1,SC,0.00045392,Very low
7484778,36.918,3,LC,0.00037321,Very low
7484780,5.285,2,SC,0.00288805,Low
7484786,1.928,1,HW,1.00E-05,Very low
7484788,0.567,1,HW,0.01037883,Moderate
7484790,51.047,3,SR,0.00042635,Very low
7484792,780.358,5,MR,0.00031422,Very low
7484794,1.557,1,HW,0.0079986,Moderate
7484796,6.415,2,SC,0.00463223,Low
7484798,0.592,1,HW,0.01022131,Moderate
7484800,14.488,3,LC,0.00196954,Low
7484802,0.621,1,HW,0.01385167,Moderate
7484804,40.38,3,SR,0.00073819,Very low
7484806,0.634,1,HW,0.00885872,Moderate
7484810,1.53,2,HW,0.00396486,Low
7484812,6.136,2,SC,0.00193973,Low
7484814,5.782,3,SC,0.00145879,Low
7484816,0.75,1,HW,0.01181506,Moderate
7484818,0.395,1,HW,0.00893419,Moderate
7484826,1.069,1,HW,0.00715668,Moderate
7484830,1.306,1,HW,0.01059834,Moderate
7484834,1.012,1,HW,0.00957677,Moderate
7484838,355.928,5,MR,0.00061774,Very low
7484840,1.314,1,HW,0.00559278,Moderate
7484842,42.779,3,SR,0.00040369,Very low
7484844,1.277,1,HW,0.00757976,Moderate
7484846,7.332,3,SC,0.00369565,Low
7484848,1.785,2,HW,0.00285208,Low
7484852,1.381,1,HW,0.00639622,Moderate
7484856,1.405,1,HW,0.00534883,Moderate
7484860,356.032,5,MR,1.00E-05,Very low
7484862,0.712,1,HW,0.01145562,Moderate
7484864,3.168,2,SC,0.00535413,Moderate
7484866,2.611,2,SC,0.00249876,Low
7484868,9.232,2,SC,0.00043089,Very low
7484870,0.82,1,HW,0.00401741,Low
7484872,7.666,2,SC,0.00217773,Low
7484874,363.944,5,MR,1.00E-05,Very low
7484876,10.211,2,LC,0.00271186,Low
7484878,0.99,1,HW,0.00192682,Low
7484880,9.186,3,SC,0.00175953,Low
7484882,0.906,1,HW,0.01239926,Moderate
7484884,0.42,1,HW,0.00881176,Moderate
7484886,1.902,1,HW,0.00664757,Moderate
7484888,12.931,3,LC,0.00121684,Low
7484890,1.237,1,HW,0.00792857,Moderate
7484892,12.969,3,LC,1.00E-05,Very low
7484896,10.802,3,LC,0.00357561,Low
7484898,0.604,1,HW,0.00783783,Moderate
7484900,12.167,3,LC,0.00106026,Low
7484902,0.722,1,HW,0.00678798,Moderate
7484904,1.257,1,HW,0.00818577,Moderate
7484906,1.142,1,HW,0.00950524,Moderate
7484914,0.18,1,HW,0.00154598,Low
7484916,364.971,5,MR,1.00E-05,Very low
7484918,14.263,3,LC,1.00E-05,Very low
7484920,13.058,3,LC,0.00014326,Very low
7484922,0.409,1,HW,0.00740665,Moderate
7484924,0.532,1,HW,0.00856495,Moderate
7484926,0.423,1,HW,0.00305343,Low
7484928,0.74,1,HW,0.0059436,Moderate
7484930,12.939,3,LC,0.00291992,Low
7484932,0.751,1,HW,0.00911188,Moderate
7484934,14.414,3,LC,1.00E-05,Very low
7484938,2.053,2,SC,0.00156648,Low
7484940,3.599,1,SC,0.00574468,Moderate
7484942,14.459,3,LC,1.00E-05,Very low
7484944,0.93,1,HW,0.00925067,Moderate
7484946,14.554,3,LC,1.00E-05,Very low
7484950,0,3,,-9998,Very low
7484954,1.19,1,HW,0.00563734,Moderate
7484956,0.514,1,HW,0.00995535,Moderate
7484958,14.59,3,LC,0.00450549,Low
7484960,1.542,1,HW,0.00406278,Low
7484962,14.576,3,LC,0.00953586,Moderate
7484964,23.31,3,LC,0.00112163,Low
7484968,3.983,2,SC,0.00547545,Moderate
7484970,1.364,1,HW,0.00538388,Moderate
7484972,0.282,1,HW,0.02172661,Moderate High
7484976,1.117,1,HW,0.0041163,Low
7484978,365.229,5,MR,1.00E-05,Very low
7484980,14.83,3,LC,0.00062957,Very low
7484982,1.066,1,HW,0.01352211,Moderate
7484984,3.218,2,SC,0.00480865,Low
7484986,0.655,1,HW,0.01066037,Moderate
7484988,1.397,1,HW,0.00460824,Low
7484990,0.573,1,HW,0.00829696,Moderate
7484992,0.837,1,HW,0.01260052,Moderate
7484994,4.09,2,SC,0.00373161,Low
7484996,15.386,3,LC,0.0014434,Low
7484998,15.62,3,LC,0.00095354,Very low
7485000,0.672,1,HW,0.01117481,Moderate
7485002,24.687,3,LC,2.88E-05,Very low
7485004,366.433,5,MR,1.00E-05,Very low
7485006,0.802,1,HW,0.00642946,Moderate
7485010,16.36,3,LC,0.00070362,Very low
7485012,8.606,2,SC,0.00239803,Low
7485014,0.415,1,HW,0.00606323,Moderate
7485016,1.909,1,HW,1.00E-05,Very low
7485018,22.586,3,LC,0.00134778,Low
7485020,1.486,1,HW,0.00709627,Moderate
7485022,9.154,2,SC,1.00E-05,Very low
7485024,16.451,3,LC,0.0013387,Low
7485026,0.642,1,HW,0.00947261,Moderate
7485028,20.958,3,LC,0.00127293,Low
7485030,1.508,1,HW,0.00195876,Low
7485032,1.319,1,HW,0.00741105,Moderate
7485034,2.167,1,SC,0.00814196,Moderate
7485036,25.058,3,LC,0.00101016,Low
7485042,391.689,5,MR,1.00E-05,Very low
7485044,0.932,1,HW,0.00729188,Moderate
7485046,1.009,1,HW,0.01175401,Moderate
7485048,0.883,1,HW,0.00812354,Moderate
7485050,15.921,3,LC,0.0030881,Low
7485052,1.501,1,HW,0.00502963,Moderate
7485054,14.4,3,LC,0.00521739,Moderate
7485056,10.835,2,LC,0.00397179,Low
7485058,1.832,1,HW,0.00438656,Low
7485060,25.486,3,LC,1.00E-05,Very low
7485062,17.502,3,LC,0.00059288,Very low
7485064,0.438,1,HW,0.00218964,Low
7485066,3.42,2,SC,0.00609164,Moderate
7485068,1.145,1,HW,0.00289672,Low
7485070,392.24,5,MR,0.00133651,Low
7485072,17.306,3,LC,0.00102652,Low
7485074,3.047,2,SC,0.00567326,Moderate
7485076,0.677,1,HW,0.00853074,Moderate
7485078,2.462,2,SC,0.00195876,Low
7485080,1.146,1,HW,0.0073677,Moderate
7485082,0.952,1,HW,0.00591804,Moderate
7485084,0.622,1,HW,0.01034366,Moderate
7485086,0.62,1,HW,0.01011666,Moderate
7485088,18.615,3,LC,6.98E-05,Very low
7485098,1.501,1,HW,0.00576233,Moderate
7485100,43.205,4,SR,0.00273542,Low
7485102,0.728,1,HW,0.00734886,Moderate
7485104,21.25,3,LC,2.63E-05,Very low
7485108,43.403,4,SR,0.00021551,Very low
7485110,0.834,1,HW,0.01006012,Moderate
7485112,4.176,2,SC,0.00288238,Low
7485114,0.42,1,HW,0.01455607,Moderate
7485116,1.292,1,HW,0.00558227,Moderate
7485118,2.022,2,SC,0.00299732,Low
7485120,4.299,2,SC,0.00442307,Low
7485122,0.83,1,HW,0.00751087,Moderate
7485124,22.096,3,LC,0.00244718,Low
7485126,0.752,1,HW,0.00555842,Moderate
7485128,0.487,1,HW,0.01689952,Moderate
7485130,0.969,1,HW,0.00765421,Moderate
7485134,44.344,4,SR,0.00060279,Very low
7485136,394.265,5,MR,0.000369,Very low
7485140,0.959,1,HW,0.00695368,Moderate
7485142,1.421,1,HW,0.00963885,Moderate
7485144,1.219,1,HW,0.01072307,Moderate
7485148,1.573,1,HW,0.00581182,Moderate
7485150,1.263,1,HW,0.00750445,Moderate
7485152,5.443,2,SC,0.00142682,Low
7485154,1.754,1,HW,0.003847,Low
7485156,44.647,4,SR,0.00075332,Very low
7485158,3.959,1,SC,0.00063549,Very low
7485160,44.656,4,SR,1.00E-05,Very low
7485164,44.682,4,SR,1.00E-05,Very low
7485166,1.845,1,HW,0.0069327,Moderate
7485168,0.849,1,HW,0.01112865,Moderate
7485170,0.816,1,HW,0.00610862,Moderate
7485172,23.275,3,LC,0.00077934,Very low
7485174,1.321,1,HW,0.0047658,Low
7485176,0.502,1,HW,0.00956497,Moderate
7485178,45.141,4,SR,1.00E-05,Very low
7485182,0.778,1,HW,0.00772058,Moderate
7485184,0.695,1,HW,0.00831271,Moderate
7485186,0.381,1,HW,0.01332856,Moderate
7485188,45.178,4,SR,0.00078431,Very low
7485190,0.672,1,HW,0.0105235,Moderate
7485194,1.068,1,HW,0.00331423,Low
7485196,45.24,4,SR,0.00060606,Very low
7485198,1.041,1,HW,0.01087666,Moderate
7485202,45.451,4,SR,0.00078006,Very low
7485206,4.595,1,SC,0.00451438,Low
7485208,0.466,1,HW,0.00818014,Moderate
7485210,1.631,1,HW,0.00109526,Low
7485212,1.757,2,HW,0.00244023,Low
7485214,12.385,2,LC,0.00217124,Low
7485216,1.75,1,HW,0.00083333,Very low
7485218,2.266,2,SC,0.00423003,Low
7485220,7.978,2,SC,0.00313162,Low
7485222,49.746,4,SR,0.00028985,Very low
7485224,0.658,1,HW,0.00964894,Moderate
7485226,49.817,4,SR,1.00E-05,Very low
7485228,0.231,4,HW,0.00148379,Low
7485230,4.07,2,SC,0.00165117,Low
7485232,6.132,2,SC,1.00E-05,Very low
7485234,6.13,2,SC,0.0015648,Low
7485236,10.279,3,LC,0.00902702,Moderate
7485238,2.922,1,SC,0.00411741,Low
7485240,0,2,,0.01747252,Moderate
7485242,10.22,3,LC,0.01135714,Moderate
7485248,51.79,4,SR,8.73E-05,Very low
7485250,1.886,1,HW,0.00162162,Low
7485252,24.828,3,LC,0.00111064,Low
7485256,0.827,1,HW,0.01040849,Moderate
7485258,10.29,3,LC,0.00089947,Very low
7485260,14.601,3,LC,0.00089142,Very low
7485262,0.359,4,HW,1.00E-05,Very low
7485264,0.303,4,HW,6.17E-05,Very low
7485268,3.448,4,SC,1.00E-05,Very low
7485272,26.914,3,LC,0.00115151,Low
7485274,2.377,1,SC,0.00870135,Moderate
7485276,0.679,1,HW,0.00736752,Moderate
7485280,27.14,3,LC,0.00038834,Very low
7485284,0.702,1,HW,0.00503,Moderate
7485286,25.108,4,LC,1.00E-05,Very low
7485290,0.74,1,HW,0.00747774,Moderate
7485292,0.023,1,HW,0.0141573,Moderate
7485294,1.022,1,HW,0.00597496,Moderate
7485296,1.128,1,HW,0.00501765,Moderate
7485298,25.933,4,LC,0.00231827,Low
7485300,2.388,1,SC,0.00115506,Low
7485302,2.362,1,SC,0.00502526,Moderate
7485304,16.364,3,LC,0.00193752,Low
7485306,0.925,1,HW,0.00712618,Moderate
7485308,0.875,1,HW,0.00779798,Moderate
7485312,1.078,1,HW,0.00023102,Very low
7485314,3.144,1,SC,0.00201828,Low
7485316,1.079,1,HW,0.00587813,Moderate
7485322,26.698,4,LC,0.00089775,Very low
7485326,0.992,1,HW,0.00638795,Moderate
7485328,404.378,5,MR,1.00E-05,Very low
7485330,5.787,1,SC,0.00083913,Very low
7485332,26.749,4,LC,1.00E-05,Very low
7485334,2.208,1,SC,0.00026615,Very low
7485336,0.655,1,HW,0.00866235,Moderate
7485338,18.945,3,LC,1.00E-05,Very low
7485340,26.449,3,LC,1.00E-05,Very low
7485342,26.799,4,LC,0.00030821,Very low
7485346,26.824,4,LC,1.00E-05,Very low
7485348,26.961,4,LC,0.00330798,Low
7485352,27.009,4,LC,1.00E-05,Very low
7485354,27.026,4,LC,0.00013953,Very low
7485358,27.052,4,LC,0.00030769,Very low
7485360,27.886,4,LC,0.00034883,Very low
7485362,27.909,4,LC,1.00E-05,Very low
7485364,2.509,2,SC,0.0002439,Very low
7485366,4.025,2,SC,0.00026785,Very low
7485368,28.164,4,LC,3.50E-05,Very low
7485370,1.218,1,HW,0.00413461,Low
7485374,410.659,5,MR,1.00E-05,Very low
7485376,0.181,1,HW,0.00498327,Low
7485380,6.867,2,SC,0.00363043,Low
7485386,0.565,1,HW,0.00952941,Moderate
7485396,3.262,2,SC,0.00482051,Low
7485408,0.436,1,HW,0.00848184,Moderate
7485410,0.505,1,HW,0.00682416,Moderate
7485412,4.536,2,SC,0.00378082,Low
7485414,0.461,1,HW,1.00E-05,Very low
7485416,1.536,2,HW,0.00321872,Low
7485418,1.914,1,HW,0.00534602,Moderate
7485420,0.53,1,HW,0.01105643,Moderate
7485426,1.012,2,HW,0.00327231,Low
7485428,1.778,1,HW,0.00364238,Low
7485430,0.884,1,HW,0.00169484,Low
7485432,0.576,1,HW,0.00332303,Low
7485434,0.542,1,HW,0.00788194,Moderate
7485436,20.444,3,LC,0.00014851,Very low
7485438,1.736,2,HW,0.00373333,Low
7485440,418.364,5,MR,0.00111757,Low
7485444,421.873,5,MR,1.00E-05,Very low
7485448,9.206,3,SC,0.00143333,Low
7485450,12.5,3,LC,6.60E-05,Very low
7485454,2.675,1,SC,0.00074182,Very low
7485456,6.611,2,SC,0.00244382,Low
7485458,1.097,1,HW,0.00683898,Moderate
7485462,4.244,2,SC,0.00168348,Low
7485466,34.592,3,LC,1.00E-05,Very low
7485468,12.585,3,LC,0.00114361,Low
7485470,49.764,4,SR,1.00E-05,Very low
7485472,425.913,5,MR,2.31E-05,Very low
7485474,51.23,4,SR,0.00044444,Very low
7485478,0.222,3,HW,0.00103365,Low
7485480,51.294,4,SR,0.00152,Low
7485482,2.597,1,SC,0.00677933,Moderate
7485484,52.035,4,SR,0.00095661,Very low
7485486,0.621,1,HW,0.01276621,Moderate
7485490,3.843,2,SC,0.00226186,Low
7485492,1.603,1,HW,0.0039458,Low
7485494,0.151,6,HW,1.00E-05,Very low
7485496,1.04,1,HW,0.00461538,Low
7485502,15.12,3,LC,0.00194049,Low
7485504,3.545,1,SC,0.00065367,Very low
7485506,426.098,5,MR,0.00010794,Very low
7485508,10.124,3,LC,1.00E-05,Very low
7485510,18.54,3,LC,0.00162844,Low
7485512,1.438,1,HW,0.00224207,Low
7485514,57.3,4,SR,5.66E-05,Very low
7485518,54.828,4,SR,1.00E-05,Very low
7485520,60.417,4,SR,1.00E-05,Very low
7485522,5.88,2,SC,0.00112219,Low
7485524,10.06,3,LC,6.70E-05,Very low
7485526,0.393,1,HW,0.00957883,Moderate
7485528,3.61,2,SC,8.00E-05,Very low
7485530,3.103,2,SC,0.00220113,Low
7485532,2.184,1,SC,0.00694197,Moderate
7485534,16.636,1,LC,1.00E-05,Very low
7485536,2.273,1,SC,0.00305466,Low
7485538,1.105,1,HW,0.00600407,Moderate
7485540,1.759,1,HW,0.00538423,Moderate
7485542,0.94,1,HW,0.00129411,Low
7485544,429.81,5,MR,1.00E-05,Very low
7485546,4.777,1,SC,0.0052328,Moderate
7485548,15.433,3,LC,1.00E-05,Very low
7485550,2.389,1,SC,0.0045953,Low
7485552,0.483,1,HW,0.01678429,Moderate
7485554,0.009,6,HW,1.00E-05,Very low
7485560,1.452,1,HW,0.00448186,Low
7485562,62.292,4,SR,1.00E-05,Very low
7485564,0.144,6,HW,1.00E-05,Very low
7485566,1.328,1,HW,0.00024562,Very low
7485568,1.592,1,HW,1.00E-05,Very low
7485574,2.938,2,SC,1.00E-05,Very low
7485576,3.522,2,SC,0.00199138,Low
7485580,6.948,2,SC,1.00E-05,Very low
7485582,0.716,1,HW,0.0001419,Very low
7485584,0.563,1,HW,0.00021932,Very low
7485586,0.07,6,HW,1.00E-05,Very low
7485588,1.636,1,HW,1.00E-05,Very low
7485590,2.775,1,SC,0.00316326,Low
7485594,0.682,1,HW,0.00661473,Moderate
7485596,12.961,3,LC,0.00126567,Low
7485598,1.329,1,HW,0.00365217,Low
7485600,1.474,1,HW,0.00403193,Low
7485602,0,3,,1.00E-05,Very low
7485604,18.864,1,LC,1.00E-05,Very low
7485608,431.029,5,MR,1.00E-05,Very low
7485614,0.6,1,HW,0.00190992,Low
7485618,0.052,6,HW,1.00E-05,Very low
7485620,0,6,,1.00E-05,Very low
7485622,9.697,3,SC,0.00276639,Low
7485624,5.908,2,SC,0.00113646,Low
7485626,1.424,1,HW,0.00478647,Low
7485628,3099.314,6,LR,1.00E-05,Very low
7485630,1.913,1,HW,0.00284356,Low
7485632,0.134,6,HW,1.00E-05,Very low
7485634,7.778,3,SC,1.00E-05,Very low
7485638,1.179,1,HW,0.01016297,Moderate
7485640,3170.246,6,LR,1.00E-05,Very low
7485642,1.276,1,HW,0.00401939,Low
7485646,0.101,6,HW,1.00E-05,Very low
7485648,2.341,1,SC,0.00174267,Low
7485650,81.456,3,SR,1.00E-05,Very low
7485652,1.784,2,HW,0.00220879,Low
7485654,3170.412,6,LR,1.00E-05,Very low
7485656,1.147,1,HW,0.00354872,Low
7485658,0.522,6,HW,1.00E-05,Very low
7485660,81.449,3,SR,1.00E-05,Very low
7485662,2.044,1,SC,0.00687432,Moderate
7485664,2.361,1,SC,0.0037353,Low
7485666,16.761,2,LC,0.00118918,Low
7485668,1.287,1,HW,0.00478096,Low
7485670,18.13,2,LC,0.00138922,Low
7485672,19.435,2,LC,0.00148048,Low
7485674,7.646,3,SC,0.00083815,Very low
7485676,0.851,1,HW,0.00649283,Moderate
7485680,1.288,1,HW,0.00777865,Moderate
7485682,3172.35,6,LR,1.00E-05,Very low
7485684,15.393,2,LC,1.00E-05,Very low
7485686,0.837,2,HW,0.00175506,Low
7485688,3158.819,6,LR,1.00E-05,Very low
7485690,3178.694,6,LR,1.00E-05,Very low
7485692,3129.479,6,LR,1.00E-05,Very low
7485694,3168.482,6,LR,1.00E-05,Very low
7485696,75.534,3,SR,1.00E-05,Very low
7485700,2.127,2,SC,0.00054662,Very low
7485702,0,5,,-9998,Very low
7485704,0.03,6,HW,1.00E-05,Very low
7485706,3179.16,6,LR,1.00E-05,Very low
7485708,12.275,3,LC,0.00064297,Very low
7485710,2.329,2,SC,0.004,Low
7485712,432.762,5,MR,1.00E-05,Very low
7485714,3183.595,6,LR,1.00E-05,Very low
7485716,26.483,2,LC,0.00029452,Very low
7485718,72.299,3,SR,1.00E-05,Very low
7485722,1.561,1,HW,0.00059835,Very low
7485724,4.042,2,SC,0.00097087,Very low
7485726,0.516,1,HW,0.00921104,Moderate
7485728,29.114,3,LC,0.00059558,Very low
7485730,3184.004,6,LR,1.00E-05,Very low
7485738,14.503,3,LC,0.00073412,Very low
7485744,1.906,1,HW,0.00631059,Moderate
7485746,44.938,3,SR,1.00E-05,Very low
7485748,0.468,1,HW,0.00026037,Very low
7485750,0.748,1,HW,0.00657051,Moderate
7485752,15.334,2,LC,0.00081295,Very low
7485754,435.109,5,MR,1.00E-05,Very low
7485756,12.489,2,LC,1.00E-05,Very low
7485758,0.511,1,HW,0.00701883,Moderate
7485760,0.367,1,HW,0.00031336,Very low
7485762,2.147,2,SC,0.00680743,Moderate
7485764,3184.806,6,LR,1.00E-05,Very low
7485766,22.063,1,LC,1.00E-05,Very low
7485768,435.639,5,MR,1.00E-05,Very low
7485770,22.071,1,LC,1.00E-05,Very low
7485772,1.357,1,HW,0.00134178,Low
7485774,0.477,1,HW,1.00E-05,Very low
